id,barrio,latitude,longitude,room_type,property_type,accommodates,bedrooms,beds,price_clean,minimum_nights,number_of_reviews,review_scores_rating,review_scores_location,review_scores_value,estimated_occupancy_l365d,ocupacion_pct_365d,n_amenities,poi_gastronomia_900m,poi_transporte_900m,poi_total_900m,instant_bookable,host_is_superhost,tiene_wifi,tiene_pileta,tiene_aire_acondicionado,tiene_cochera,tiene_cocina,tiene_ascensor,tiene_gimnasio,acepta_mascotas
17222439,Recoleta,-34.59873,-58.38869,Private room,Private room in rental unit,2,,2.0,42496.8,1.0,54,4.91,4.96,4.91,138,37.80821917808219,27,,,,,t,True,False,True,True,True,True,False,False
25841514,Recoleta,-34.59718,-58.38894,Private room,Private room in rental unit,1,,1.0,39101.0,1.0,43,4.93,4.98,4.81,30,8.21917808219178,28,,,,,t,True,False,False,True,True,True,False,False
32842720,Recoleta,-34.5893,-58.40948,Private room,Private room in rental unit,3,,1.0,31176.69,2.0,10,4.8,5.0,4.5,12,3.287671232876712,26,,,,,f,True,False,True,True,True,True,False,False
17301648,Recoleta,-34.59056,-58.40979,Private room,Private room in rental unit,1,2.0,2.0,28687.68,5.0,4,4.75,5.0,4.5,10,2.73972602739726,15,,,,,f,True,False,True,False,True,True,False,False
36583438,Recoleta,-34.58716,-58.39484,Entire home/apt,Entire rental unit,2,1.0,1.0,87108.03,3.0,161,4.96,4.97,4.92,255,69.86301369863014,41,,,,,t,True,False,False,True,True,False,False,False
1274056786648025479,Recoleta,-34.59013,-58.39911,Entire home/apt,Entire rental unit,3,1.0,1.0,75376.67,3.0,8,4.88,4.88,4.63,18,4.931506849315069,43,,,,,t,True,False,True,True,True,True,False,True
18215619,Recoleta,-34.5911298,-58.3995931,Entire home/apt,Entire condo,3,1.0,1.0,75376.67,3.0,31,4.81,4.81,4.55,18,4.931506849315069,44,,,,,t,True,False,False,True,True,True,False,True
827355122652902269,Recoleta,-34.5930154,-58.39961340000001,Entire home/apt,Entire condo,4,1.0,3.0,90216.94,6.0,9,5.0,4.89,4.33,0,0.0,38,,,,,f,True,False,False,True,True,True,False,False
770384504882623514,Recoleta,-34.5930154,-58.39961340000001,Entire home/apt,Entire rental unit,3,1.0,1.0,66355.79,10.0,20,4.85,5.0,4.65,100,27.397260273972602,31,,,,,f,True,False,False,True,True,True,False,False
924843732573562776,Recoleta,-34.5924,-58.39215,Entire home/apt,Entire rental unit,2,1.0,1.0,106874.0,3.0,37,4.86,5.0,4.86,90,24.65753424657534,41,,,,,t,True,True,True,True,True,True,True,False
1092657276120297175,Recoleta,-34.59756,-58.41122,Entire home/apt,Entire rental unit,3,1.0,1.0,86906.0,2.0,7,5.0,5.0,5.0,0,0.0,17,,,,,f,True,False,True,False,True,False,False,False
889924338537912033,Recoleta,-34.5914,-58.39437,Entire home/apt,Entire rental unit,3,1.0,1.0,122184.0,2.0,126,4.97,4.99,4.92,255,69.86301369863014,49,,,,,t,True,True,False,True,True,True,True,False
879071013157196654,Recoleta,-34.59417117516526,-58.39096660595201,Entire home/apt,Entire rental unit,3,1.0,1.0,111770.0,2.0,67,4.82,4.99,4.78,108,29.589041095890412,47,,,,,t,True,True,True,True,True,True,False,False
17737237,Recoleta,-34.59563,-58.3962,Entire home/apt,Entire rental unit,2,,1.0,74815.0,3.0,161,4.75,4.97,4.62,144,39.45205479452055,46,,,,,f,True,False,False,True,True,True,False,False
1628566570385385635,Recoleta,-34.58851,-58.40113,Entire home/apt,Entire rental unit,2,1.0,1.0,60848.44,2.0,0,,,,0,0.0,23,,,,,f,True,False,True,False,True,False,False,False
